the_geom,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2
POINT (-74.14849990185022 40.60958370668206),NYPL79,NYPL,Other,212-340-0903,,,718-494-1642,,Todt Hill-Westerleigh Branch,2550,Victory Blvd.,Staten Island,10314,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Todt Hill-Westerleigh Branch",2550 Victory Blvd.,"Staten Island, NY 10314"
POINT (-74.11483567490465 40.634512059006404),NYPL81,NYPL,Other,212-340-0903,,,718-442-1416,,West New Brighton Branch,976,Castleton Avenue,Staten Island,10310,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, West New Brighton Branch",976 Castleton Avenue,"Staten Island, NY 10310"
POINT (-73.78634551159385 40.84768249704579),NYPL40,NYPL,Other,212-340-0903,,,718-885-1703,,City Island Branch,320,City Island Avenue,Bronx,10464,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, City Island Branch",320 City Island Avenue,"Bronx, NY 10464"
POINT (-73.93017557842856 40.76613506304137),DOE_DYCD94,DOE,21st Century,212-374-5472,Jacob A. Riis Neighborhood Settlement House,111729398,718-784-7447,30Q126,Albert Shanker School of Performing Arts,31-51,21st Street,Queens,11106,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Jacob A. Riis Neighborhood Settlement House,31-51 21st Street,"Queens, NY 11106"
POINT (-73.89397195888522 40.653723665383616),DOE_DYCD46,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K260,PS 260,875,Williams Avenue,Brooklyn,11207,School,0,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,875 Williams Avenue,"Brooklyn, NY 11207"
POINT (-73.88651037424769 40.655221210676615),DOE_DYCD48,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K306,PS 306,970,Vermont Street,Brooklyn,11207,School,0,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,970 Vermont Street,"Brooklyn, NY 11207"
POINT (-73.87635168357765 40.66618685714756),DOE_DYCD44,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K202,PS 202,982,Hegeman Ave,Brooklyn,11208,School,0,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,982 Hegeman Ave,"Brooklyn, NY 11208"
POINT (-73.86810587140246 40.73737611941205),DOE_DYCD51,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,24Q013,PS 13,55-01,94th Street,Queens,11373,School,0,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,55-01 94th Street,"Queens, NY 11373"
POINT (-73.87309425752359 40.689367618132316),DOE_DYCD2,DOE,21st Century,212-374-5472,Cypress Hills Local Development,112683663,718-647-2800,19K007,PS 7,858,Jamaica Avenue,Brooklyn,11208,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Cypress Hills Local Dev.,858 Jamaica Avenue,"Brooklyn, NY 11208"
POINT (-73.92146704914597 40.80634801185211),DOE_DYCD28,DOE,21st Century,212-374-5472,East Side House Settlement,131623989,718-665-5250,07X043,PS 43,165,Brown Place,Bronx,10454,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - East Side House Settlement,165 Brown Place,"Bronx, NY 10454"
POINT (-73.91991799136719 40.80933055040995),DOE_DYCD29,DOE,21st Century,212-374-5472,East Side House Settlement,131623989,718-665-5250,07X220,PS 220,468,East 140th Street,Bronx,10454,School,0,unknown,yes,unknown,unknown,Yes,yes,No,Full-time,0,yes,yes,yes,21st Century - East Side House Settlement,468 East 140th Street,"Bronx, NY 10454"
POINT (-73.98407115681863 40.718196851036716),DOE_DYCD31,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M142,PS 142,100,Attorney Street,Manhattan,10002,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,100 Attorney Street,"Manhattan, NY 10002"
POINT (-74.0123465991052 40.709254088257225),DOE_DYCD33,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,02M489,HS of Economic & Finance,100,Trinity Place,Manhattan,10006,School,0,unknown,yes,unknown,unknown,No,No,yes,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,100 Trinity Place,"Manhattan, NY 10006"
POINT (-73.9859719303444 40.720147457154034),DOE_DYCD32,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M509,Marta Valle HS,145,Stanton Street,Manhattan,10002,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,145 Stanton Street,"Manhattan, NY 10002"
POINT (-73.9817592927859 40.72370446833405),DOE_DYCD30,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M064,PS 64,600,East 6th Street,Manhattan,10009,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,600 East 6th Street,"Manhattan, NY 10009"
POINT (-73.87989766714108 40.6762670278752),DOE_DYCD50,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K345,PS 345,111,Berriman Street,Brooklyn,11208,School,0,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,111 Berriman Street,"Brooklyn, NY 11208"
POINT (-73.897624628374 40.66555683699758),DOE_DYCD43,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K174,PS 174,574,Dumont Avenue,Brooklyn,11207,School,0,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,574 Dumont Avenue,"Brooklyn, NY 11207"
POINT (-74.07909062815405 40.64290933803227),DOE_DYCD323,DOE,TASC,212-374-5472,New York Center for Interpersonal Development,237085239,718-815-4557,31R600,McKee HS,290,Saint Marks Place,Staten Island,10301,School,150,No,Yes,No,No,No,No,Yes,Full-time,150,yes,yes,yes,TASC - NY Center for Interpersonal Dev.,290 Saint Marks Place,"Staten Island, NY 10301"
POINT (-73.95258219379271 40.817555314368406),DOE_DYCD298,DOE,TASC,212-374-5472,Harlem Dowling West Side Center for Children & Family Services,133030378,212-749-3656,05M161,PS 161,499,West 133rd Street,Manhattan,10027,School,250,No,Yes,No,No,Yes,No,No,Full-time,250,yes,yes,yes,TASC - Harlem Dowling,499 West 133rd Street,"Manhattan, NY 10027"
POINT (-73.90074215733165 40.82737857991578),DOE_DYCD308,DOE,TASC,212-374-5472,Kips Bay Boys & Girls Club,131623850,718-893-8600,12X158,IS 158/CS 212,800,Home Street,Bronx,10456,School,250,No,Yes,No,No,No,Yes,No,Full-time,250,yes,yes,yes,TASC - Kips Bay Boys & Girls Club,800 Home Street,"Bronx, NY 10456"
POINT (-73.89672913721049 40.73465661957813),DOE_DYCD314,DOE,TASC,212-374-5472,Maspeth Town Hall,237259702,718-335-6049,24Q229,PS 229,67-25,51st Road,Queens,11377,School,430,No,Yes,No,No,Yes,No,No,Full-time,430,yes,yes,yes,TASC - Maspeth Town Hall,67-25 51st Road,"Queens, NY 11377"
POINT (-73.8278921610729 40.84429200586408),NYPL56,NYPL,Other,212-340-0903,,,718-792-6744,,Pelham Bay Branch,3060,Middletown Road,Bronx,10461,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Pelham Bay Branch",3060 Middletown Road,"Bronx, NY 10461"
POINT (-74.0053435494008 40.72986776778449),NYPL12,NYPL,Other,212-340-0903,,,212-929-0815,,Early Childhood Resource & Information Ctr.,66,Leroy Street,Manhattan,10014,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Early Childhood Resource and Information Center",66 Leroy Street,"Manhattan, NY 10014"
POINT (-73.98202637243159 40.738101686782926),NYPL13,NYPL,Other,212-340-0903,,,212-679-2645,,Epiphany Branch,228,East 23rd Street,Manhattan,10010,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Epiphany Branch",228 East 23rd Street,"Manhattan, NY 10010"
POINT (-73.93385881411153 40.84788060810984),NYPL14,NYPL,Other,212-340-0903,,,212-927-3533,,Fort Washington Branch,535,West 179th Street,Manhattan,10033,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Fort Washington Branch",535 West 179th Street,"Manhattan, NY 10033"
POINT (-73.95707619343425 40.813771584761454),NYPL15,NYPL,Other,212-340-0903,,,212-662-9727,,George Bruce Branch,518,West 125th Street,Manhattan,10027,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, George Bruce Branch",518 West 125th Street,"Manhattan, NY 10027"
POINT (-73.97959960150698 40.71932072639635),NYPL16,NYPL,Other,212-340-0903,,,212-673-2290,,Hamilton Fish Park Branch,415,East Houston Street,Manhattan,10002,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hamilton Fish Park Branch",415 East Houston Street,"Manhattan, NY 10002"
POINT (-73.94802503220717 40.82567804154841),NYPL17,NYPL,Other,212-340-0903,,,212-926-2147,,Hamilton Grange Branch,503,West 145th Street,Manhattan,10031,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hamilton Grange Branch",503 West 145th Street,"Manhattan, NY 10031"
POINT (-73.94330501535589 40.806190432891896),NYPL18,NYPL,Other,212-340-0903,,,212-348-5620,,Harlem Branch,9,West 124th Street,Manhattan,10027,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Harlem Branch",9 West 124th Street,"Manhattan, NY 10027"
POINT (-74.0053435494008 40.72986776778449),NYPL19,NYPL,Other,212-340-0903,,,212-243-6876,,Hudson Park Branch,66,Leroy Street,Manhattan,10014,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hudson Park Branch",66 Leroy Street,"Manhattan, NY 10014"
POINT (-73.9258638637942 40.86573231051212),NYPL20,NYPL,Other,212-340-0903,,,212-942-2445,,Inwood Branch,4790,Broadway,Manhattan,10034,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Inwood Branch",4790 Broadway,"Manhattan, NY 10034"
POINT (-73.99918400902949 40.73459269288115),NYPL21,NYPL,Other,212-340-0903,,,212-243-4334,,Jefferson Market Regional Branch,425,Ave. of the Americas,Manhattan,10011,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Jefferson Market Regional Branch",425 Ave. of the Americas,"Manhattan, NY 10011"
POINT (-73.97993133320276 40.74380674338484),NYPL22,NYPL,Other,212-340-0903,,,212-683-2520,,Kips Bay Branch,446,Third Avenue,Manhattan,10016,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Kips Bay Branch",446 Third Avenue,"Manhattan, NY 10016"
POINT (-73.93584850383357 40.826687086290164),NYPL23,NYPL,Other,212-340-0903,,,212-281-4900,,Macomb's Bridge Branch,2650,Seventh Avenue,Manhattan,10039,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Macomb's Bridge Branch",2650 Seventh Avenue,"Manhattan, NY 10039"
POINT (-73.96479190102868 40.80605650585314),NYPL24,NYPL,Other,212-340-0903,,,212-864-2530,,Morningside Heights Branch,2900,Broadway,Manhattan,10025,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Morningside Heights Branch",2900 Broadway,"Manhattan, NY 10025"
POINT (-73.995965292346 40.74451931003508),NYPL25,NYPL,Other,212-340-0903,,,212-924-1585,,Muhlenberg Branch,209,West 23rd Street,Manhattan,10011,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Muhlenberg Branch",209 West 23rd Street,"Manhattan, NY 10011"
POINT (-74.00786006270384 40.713610418363096),NYPL26,NYPL,Other,212-340-0903,,,212-732-8186,,New Amsterdam Branch,9,Murray Street,Manhattan,10007,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, New Amsterdam Branch",9 Murray Street,"Manhattan, NY 10007"
POINT (-73.98778528857267 40.728921312605706),NYPL27,NYPL,Other,212-340-0903,,,212-674-0947,,Ottendorfer Branch,135,Second Avenue,Manhattan,10003,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Ottendorfer Branch",135 Second Avenue,"Manhattan, NY 10003"
POINT (-73.98424989700611 40.774153143283215),NYPL28,NYPL,Other,212-340-0903,,,212-870-1810,,Riverside Branch,127,Amsterdam Avenue,Manhattan,10023,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Riverside Branch",127 Amsterdam Avenue,"Manhattan, NY 10023"
POINT (-73.95019964587912 40.76123235748013),NYPL29,NYPL,Other,212-340-0903,,,212-308-6243,,Roosevelt Island Branch,524,Main Street,Manhattan,10044,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Roosevelt Island Branch",524 Main Street,"Manhattan, NY 10044"
POINT (-73.98853620742186 40.71446922688831),NYPL30,NYPL,Other,212-340-0903,,,212-477-6770,,Seward Park Branch,192,East Broadway,Manhattan,10002,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Seward Park Branch",192 East Broadway,"Manhattan, NY 10002"
POINT (-73.97743096748077 40.78479900153783),NYPL31,NYPL,Other,212-340-0903,,,212-877-4380,,St. Agnes Branch,444,Amsterdam Avenue,Manhattan,10024,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, St. Agnes Branch",444 Amsterdam Avenue,"Manhattan, NY 10024"
POINT (-73.98039285907261 40.72729610156839),NYPL32,NYPL,Other,212-340-0903,,,212-228-4747,,Tompkins Sqare Branch,331,East Tenth Street,Manhattan,10009,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Tompkins Sqare Branch",331 East Tenth Street,"Manhattan, NY 10009"
POINT (-73.93967938919997 40.83451432136151),NYPL33,NYPL,Other,212-340-0903,,,212-923-6054,,Washington Heights Branch,1000,St. Nicholas Avenue,Manhattan,10032,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Washington Heights Branch",1000 St. Nicholas Avenue,"Manhattan, NY 10032"
POINT (-73.95137677674504 40.770647325081946),NYPL34,NYPL,Other,212-340-0903,,,212-288-5049,,Webster Branch,1465,York Avenue,Manhattan,10021,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Webster Branch",1465 York Avenue,"Manhattan, NY 10021"
POINT (-73.95643284597035 40.773597196923575),NYPL35,NYPL,Other,212-340-0903,,,212-744-5824,,Yorkville Branch,222,East 79th Street,Manhattan,10021,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Yorkville Branch",222 East 79th Street,"Manhattan, NY 10021"
POINT (-73.86320392813728 40.86681729965592),NYPL36,NYPL,Other,212-340-0903,,,718-881-4240,,Allerton Branch,2740,Barnes Avenue,Bronx,10467,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Allerton Branch",2740 Barnes Avenue,"Bronx, NY 10467"
POINT (-73.82844570131066 40.87048465159274),NYPL37,NYPL,Other,212-340-0903,,,718-379-6700,,Baychester Regional Branch,2049,Asch Loop North,Bronx,10475,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Baychester Regional Branch",2049 Asch Loop North,"Bronx, NY 10475"
POINT (-73.88791885587773 40.85433085985023),NYPL38,NYPL,Other,212-340-0903,,,718-933-6410,,Belmont Regional Branch,610,East 186th Street,Bronx,10458,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Belmont Regional Branch",610 East 186th Street,"Bronx, NY 10458"
POINT (-73.85020275350692 40.826613116061466),NYPL39,NYPL,Other,212-340-0903,,,718-824-3838,,Castle Hill Branch,947,Castle Hill Avenue,Bronx,10473,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Castle Hill Branch",947 Castle Hill Avenue,"Bronx, NY 10473"
POINT (-73.87505244990055 40.82998029408179),NYPL41,NYPL,Other,212-340-0903,,,718-842-1235,,Clason's Point Branch,1215,Morrison Avenue,Bronx,10472,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Clason's Point Branch",1215 Morrison Avenue,"Bronx, NY 10472"
POINT (-73.84504990196329 40.87017032990112),NYPL42,NYPL,Other,212-340-0903,,,718-653-3292,,Eastchester Branch,1385,East Gun Hill Road,Bronx,10469,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Eastchester Branch",1385 East Gun Hill Road,"Bronx, NY 10469"
POINT (-73.84084004766335 40.88888388868328),NYPL43,NYPL,Other,212-340-0903,,,718-798-3355,,Edenwald Branch,1255,East 233rd Street,Bronx,10466,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Edenwald Branch",1255 East 233rd Street,"Bronx, NY 10466"
POINT (-73.90928541252134 40.85746487756616),NYPL45,NYPL,Other,212-340-0903,,,718-295-5287,,Francis Martin Regional Branch,2150,University Avenue,Bronx,10453,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Francis Martin Regional Branch",2150 University Avenue,"Bronx, NY 10453"
POINT (-73.91009167195168 40.84400821904156),NYPL46,NYPL,Other,212-340-0903,,,718-583-6611,,Grand Concourse Branch,155,East 173rd Street,Bronx,10457,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Grand Concourse Branch",155 East 173rd Street,"Bronx, NY 10457"
POINT (-73.92355815203577 40.83794114129726),NYPL47,NYPL,Other,212-340-0903,,,718-293-7800,,High Bridge Branch,78,West 168th Street,Bronx,10452,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, High Bridge Branch",78 West 168th Street,"Bronx, NY 10452"
