"","GEOID","Adjusted.Grade","New.","Other.Location.Code.in.LCGMS","School.Name","SED.Code","Location.Code","District","Latitude","Longitude","Address..Full.","City","Zip","Grades","Grade.Low","Grade.High","Community.School.","Economic.Need.Index","School.Income.Estimate","Percent.ELL","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.Black...Hispanic","Percent.White","Student.Attendance.Rate","Percent.of.Students.Chronically.Absent","Rigorous.Instruction..","Rigorous.Instruction.Rating","Collaborative.Teachers..","Collaborative.Teachers.Rating","Supportive.Environment..","Supportive.Environment.Rating","Effective.School.Leadership..","Effective.School.Leadership.Rating","Strong.Family.Community.Ties..","Strong.Family.Community.Ties.Rating","Trust..","Trust.Rating","Student.Achievement.Rating","Average.ELA.Proficiency","Average.Math.Proficiency","NumOfLibraries","NumOfAfterSchoolProgs","NumOfLowIncomeUnits","SchoolGEOID","MedianHldIncome","IncomeToPovertyRatio","ChildPoverty","CountofSNAPHlds","HealthCoverage"
"12","36005002800","","","","P.S. 093 ALBERT G. OLIVER",3.21e+11,"08X093",8,40.822513,-73.877255,"1535 STORY AVE BRONX, NY 10473","BRONX",10473,"PK,0K,01,02,03,04,05","PK",5,"No","0.67","42885.01",0.09,0,0.57,0.4,0.97,0.02,"0.93","0.28","0.96","Meeting Target","0.95","Meeting Target","0.95","Exceeding Target","0.87","Meeting Target","0.93","Exceeding Target","0.96","Exceeding Target","Approaching Target","2.26","2.32",3,36,62,"360050028001008",49180,1353,922,2391,5344
"13","36005002800","","","","ICAHN CHARTER SCHOOL 7",3.21e+11,"84X362",8,40.822513,-73.877255,"1535 STORY AVE BRONX, NY 10473","BRONX",10473,"0K,01,02,03,04,05,06,07,08","0K",8,"No","0.65","41943.27",0.02,0.05,0.48,0.43,0.91,0.03,"0.95","0.1","0.99","N/A","0.98","N/A","1","N/A","0.93","N/A","0.84","N/A","0.94","N/A","N/A","N/A","N/A",3,36,62,"360050028001008",49180,1353,922,2391,5344
"14","36005003300","","","","P.S. 065 MOTHER HALE ACADEMY",3.21e+11,"07X065",7,40.807731,-73.912768,"677 E 141ST ST BRONX, NY 10454","BRONX",10454,"PK,0K,01,02,03,04,05","PK",5,"No","0.96","22507.91",0.12,0.03,0.32,0.64,0.96,0.01,"0.89","0.48","0.92","Meeting Target","0.88","Meeting Target","0.88","Approaching Target","0.82","Meeting Target","0.84","Approaching Target","0.91","Meeting Target","Approaching Target","2.06","2.12",2,43,32,"360050033002000",20268,881,1338,1183,3833
"15","36005003300","","","","ACADEMIC LEADERSHIP CHARTER SCHOOL",3.21e+11,"84X491",7,40.807731,-73.912768,"677 E 141ST ST BRONX, NY 10454","BRONX",10454,"0K,01,02,03,04,05","0K",5,"No","0.85","24982.3",0.1,0,0.46,0.52,0.98,0.01,"0.94","0.2","0.95","Exceeding Target","0.84","Meeting Target","0.95","Exceeding Target","0.8","Meeting Target","0.83","Approaching Target","0.91","Meeting Target","Exceeding Target","2.83","3.11",2,43,32,"360050033002000",20268,881,1338,1183,3833
"16","36005003500","","","","HEKETI COMMUNITY CHARTER SCHOOL",3.21e+11,"84X256",7,40.809304,-73.909769,"403 CONCORD AVE BRONX, NY 10454","BRONX",10454,"0K,01,02,03,04,05","0K",5,"No","0.85","25982.42",0.25,0,0.29,0.69,0.98,0.01,"0.92","0.25","0.91","N/A","0.95","N/A","1","N/A","0.93","N/A","0.91","N/A","0.99","N/A","N/A","N/A","N/A",2,52,40,"360050035001008",26066,944,1247,1347,3906
"17","36005003900","","","","P.S. 030 WILTON",3.21e+11,"07X030",7,40.809065,-73.91752,"510 E 141ST ST BRONX, NY 10454","BRONX",10454,"PK,0K,01,02,03,04,05","PK",5,"No","0.92","22281.39",0.17,0.02,0.21,0.75,0.96,0.02,"0.9","0.4","0.87","Approaching Target","0.9","Meeting Target","0.91","Meeting Target","0.84","Meeting Target","0.9","Exceeding Target","0.91","Meeting Target","Approaching Target","2.09","2.15",1,45,38,"360050039001000",28537,1261,1699,1913,6405
"18","36005003900","","","","P.S. 049 WILLIS AVENUE",3.21e+11,"07X049",7,40.810342,-73.922626,"383 E 139TH ST BRONX, NY 10454","BRONX",10454,"PK,0K,01,02,03,04,05","PK",5,"No","0.92","22392.38",0.16,0,0.29,0.68,0.98,0.01,"0.92","0.3","0.87","Approaching Target","0.83","Meeting Target","0.81","Approaching Target","0.74","Approaching Target","0.83","Approaching Target","0.85","Meeting Target","Meeting Target","2.19","2.45",2,54,41,"360050039002000",28537,1261,1699,1913,6405
"19","36005003900","","","","P.S. 179",3.21e+11,"07X179",7,40.809216,-73.920032,"468 E 140TH ST BRONX, NY 10454","BRONX",10454,"PK,0K,01,02,03,04,05","PK",5,"No","0.9","23737.32",0.3,0.01,0.15,0.83,0.98,0,"0.92","0.33","0.94","Meeting Target","0.92","Meeting Target","0.9","Meeting Target","0.83","Meeting Target","0.85","Meeting Target","0.96","Exceeding Target","Meeting Target","2.31","2.35",2,49,39,"360050039005000",28537,1261,1699,1913,6405
"20","36005003900","","","","AMERICAN DREAM CHARTER SCHOOL",3.21e+11,"84X471",7,40.809065,-73.91752,"510 E 141ST ST-4TH FL BRONX, NY 10454","BRONX",10454,"06,07,08","6",8,"No","0.84","N/A",0.27,0,0.07,0.91,0.98,0.01,"0.97","0.06","0.99","N/A","0.99","N/A","0.87","N/A","0.94","N/A","0.92","N/A","0.97","N/A","N/A","2.38","2.3",1,45,38,"360050039001000",28537,1261,1699,1913,6405
"21","36005003900","","","","NEW YORK CITY MONTESSORI CHARTER SCHOOL",3.21e+11,"84X554",7,40.808913,-73.921746,"423 E 138TH ST BRONX, NY 10454","BRONX",10454,"0K,01,02,03,04,05","0K",5,"No","0.84","25199.39",0.19,0.01,0.3,0.65,0.94,0.01,"0.91","0.34","0.74","Approaching Target","0.83","Approaching Target","0.73","Approaching Target","0.77","Approaching Target","0.86","Meeting Target","0.91","Meeting Target","N/A","2.02","2.27",2,53,42,"360050039005001",28537,1261,1699,1913,6405
"22","36005003900","","","","FAMILY LIFE ACADEMY CHARTER SCHOOL II",3.21e+11,"84X233",7,40.811498,-73.925102,"296 E 140TH ST BRONX, NY 10454","BRONX",10454,"0K,01,02,03,04,05","0K",5,"No","0.86","26385.67",0.12,0.01,0.27,0.72,0.99,0,"0.91","0.33","0.97","N/A","0.96","N/A","1","N/A","0.84","N/A","0.89","N/A","0.98","N/A","N/A","N/A","N/A",4,59,59,"360050039003001",28537,1261,1699,1913,6405
"23","36005003900","","","","YOUNG LEADERS ELEMENTARY SCHOOL",3.21e+11,"07X369",7,40.809216,-73.920032,"468 E 140TH ST BRONX, NY 10454","BRONX",10454,"PK,0K,01,02,03,04,05","PK",5,"No","0.92","23020.7",0.47,0,0.18,0.81,0.99,0.01,"0.92","0.3","0.75","Not Meeting Target","0.86","Meeting Target","0.83","Approaching Target","0.81","Meeting Target","0.88","Meeting Target","0.9","Meeting Target","Approaching Target","1.97","2.04",2,49,39,"360050039005000",28537,1261,1699,1913,6405
"24","36005003900","","x","","SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL",3.21e+11,"84X492",7,40.808913,-73.921746,"423 E 138TH ST-7TH FL BRONX, NY 10454","BRONX",10454,"06,07,08","6",8,"No","N/A","N/A",0.14,0,0.34,0.63,0.97,0.01,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",2,53,42,"360050039005001",28537,1261,1699,1913,6405
"25","36005004001","","","","BLUEPRINT MIDDLE SCHOOL",3.21e+11,"08X562",8,40.829108,-73.85691,"1111 PUGLSEY AVE BRONX, NY 10472","BRONX",10472,"06,07,08","6",8,"No","0.8","N/A",0.15,0.23,0.18,0.56,0.74,0.01,"0.92","0.29","0.93","Meeting Target","0.95","Meeting Target","0.8","Approaching Target","0.93","Exceeding Target","0.79","Meeting Target","0.91","Meeting Target","Approaching Target","2.23","2.17",5,29,15,"360050040011001",49709,362,306,506,1489
"26","36005004001","","","","THE DR. EMMETT W. BASSETT SCHOOL",3.21e+11,"08X119",8,40.828493,-73.856571,"1075 PUGSLEY AVE BRONX, NY 10472","BRONX",10472,"PK,0K,01,02,03,04,05","PK",5,"No","0.8","39485.31",0.25,0.31,0.09,0.51,0.6,0.07,"0.94","0.21","0.84","Approaching Target","0.89","Meeting Target","0.92","Meeting Target","0.83","Meeting Target","0.86","Meeting Target","0.94","Exceeding Target","Meeting Target","2.41","2.68",4,28,17,"360050040011002",49709,362,306,506,1489
"27","36005004001","","","","J.H.S. 125 HENRY HUDSON",3.21e+11,"08X125",8,40.829414,-73.856783,"1111 PUGSLEY AVE BRONX, NY 10472","BRONX",10472,"06,07,08","6",8,"No","0.82","N/A",0.23,0.2,0.17,0.54,0.71,0.07,"0.9","0.33","0.89","Approaching Target","0.86","Approaching Target","0.84","Approaching Target","0.77","Meeting Target","0.78","Meeting Target","0.89","Meeting Target","Meeting Target","2.26","2.26",5,27,13,"360050040011001",49709,362,306,506,1489
"28","36005004100","","","","ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY",3.21e+11,"07X343",7,40.810207,-73.91839,"345 BROOK AVE BRONX, NY 10454","BRONX",10454,"06,07,08","6",8,"No","0.89","N/A",0.1,0.01,0.26,0.72,0.99,0.01,"0.92","0.29","0.9","Meeting Target","0.88","Meeting Target","0.87","Meeting Target","0.88","Meeting Target","0.79","Meeting Target","0.91","Meeting Target","Exceeding Target","2.36","2.72",1,46,42,"360050041002002",18394,1456,1889,2054,6097
"29","36005004100","","","","BRONX CHARTER SCHOOL FOR CHILDREN",3.21e+11,"84X407",7,40.812627,-73.919908,"388 WILLIS AVE BRONX, NY 10454","BRONX",10454,"0K,01,02,03,04,05","0K",5,"No","0.86","23824.44",0.18,0,0.23,0.74,0.97,0.01,"0.97","0.04","0.93","Meeting Target","0.92","Exceeding Target","0.88","Meeting Target","0.84","Meeting Target","0.85","Meeting Target","0.96","Exceeding Target","Approaching Target","2.21","2.29",3,49,48,"360050041002000",18394,1456,1889,2054,6097
"30","36005004100","","","","P.S./I.S. 224",3.21e+11,"07X224",7,40.810207,-73.91839,"345 BROOK AVE BRONX, NY 10454","BRONX",10454,"06,07,08","6",8,"No","0.9","N/A",0.26,0,0.25,0.74,0.98,0.01,"0.9","0.35","0.87","Meeting Target","0.87","Meeting Target","0.81","Meeting Target","0.8","Approaching Target","0.79","Approaching Target","0.88","Meeting Target","Meeting Target","2.18","2.13",1,46,42,"360050041002002",18394,1456,1889,2054,6097
"31","36005004200","","","","P.S. 100 ISAAC CLASON",3.21e+11,"08X100",8,40.82191,-73.862615,"800 TAYLOR AVE BRONX, NY 10473","BRONX",10473,"PK,0K,01,02,03,04,05","PK",5,"No","0.86","27710.67",0.05,0.01,0.33,0.64,0.97,0.01,"0.92","0.31","0.94","Meeting Target","0.95","Meeting Target","0.91","Meeting Target","0.91","Exceeding Target","0.82","Approaching Target","0.95","Meeting Target","Meeting Target","2.32","2.34",4,26,24,"360050042004001",23250,1887,1952,2748,7848
"32","36005004200","","","","SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP",3.21e+11,"08X448",8,40.823319,-73.860062,"885 BOLTON AVE BRONX, NY 10473","BRONX",10473,"06,07,08","6",8,"No","0.8","N/A",0.11,0.02,0.31,0.65,0.96,0.01,"0.91","0.31","0.86","Meeting Target","0.88","Exceeding Target","0.87","Meeting Target","0.81","Approaching Target","0.84","Meeting Target","0.9","Meeting Target","Exceeding Target","2.31","2.33",4,26,22,"360050042005002",23250,1887,1952,2748,7848
"33","36005004200","","","","J.H.S. 131 ALBERT EINSTEIN",3.21e+11,"08X131",8,40.823319,-73.860062,"885 BOLTON AVE BRONX, NY 10473","BRONX",10473,"06,07,08","6",8,"No","0.81","N/A",0.08,0.03,0.35,0.6,0.96,0.01,"0.91","0.34","0.79","Approaching Target","0.9","Exceeding Target","0.78","Approaching Target","0.84","Meeting Target","0.74","Approaching Target","0.87","Approaching Target","Meeting Target","2.24","2.07",4,26,22,"360050042005002",23250,1887,1952,2748,7848
"34","36005004300","","","","P.S. 277",3.21e+11,"07X277",7,40.813307,-73.913837,"519 ST ANNS AVE BRONX, NY 10454","BRONX",10454,"PK,0K,01,02,03,04,05","PK",5,"No","0.93","22649.64",0.16,0,0.23,0.74,0.97,0.01,"0.93","0.22","0.9","Meeting Target","0.9","Exceeding Target","0.89","Exceeding Target","0.84","Meeting Target","0.87","Meeting Target","0.93","Exceeding Target","Meeting Target","2.28","2.64",3,59,58,"360050043001002",21551,1278,1790,2044,6011
"35","36005004300","","","","M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY",3.21e+11,"07X223",7,40.813507,-73.920477,"360 E 145TH ST BRONX, NY 10454","BRONX",10454,"06,07,08,09,10,11,12","6",12,"No","0.87","N/A",0.09,0,0.2,0.79,0.99,0.01,"0.95","0.12","0.84","Meeting Target","0.76","Meeting Target","0.85","Exceeding Target","0.71","Approaching Target","0.75","Approaching Target","0.82","Approaching Target","Meeting Target","2.62","2.68",3,55,47,"360050043002008",21551,1278,1790,2044,6011
"36","36005004300","","","","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",3.21e+11,"07X221",7,40.813507,-73.920477,"360 E 145TH ST BRONX, NY 10454","BRONX",10454,"06,07,08,09,10,11,12","6",12,"No","0.87","N/A",0.08,0.01,0.24,0.72,0.96,0.02,"0.93","0.21","0.89","Exceeding Target","0.92","Exceeding Target","0.89","Exceeding Target","0.87","Meeting Target","0.74","Approaching Target","0.91","Meeting Target","Meeting Target","2.25","2.39",3,55,47,"360050043002008",21551,1278,1790,2044,6011
"37","36005004300","","x","","BRILLA COLLEGE PREP CHARTER SCHOOL",3.21e+11,"84X387",7,40.812806,-73.919302,"413 E 144TH ST BRONX, NY 10454","BRONX",10454,"0K,01,02,03,04,05","0K",5,"No","N/A","25720.46",0.21,0,0.26,0.71,0.97,0.01,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",3,51,49,"360050043003001",21551,1278,1790,2044,6011
"38","36005004800","","","","J.H.S. 123 JAMES M. KIERAN",3.21e+11,"08X123",8,40.824884,-73.873517,"1025 MORRISON AVE BRONX, NY 10472","BRONX",10472,"06,07,08","6",8,"Yes","0.88","N/A",0.24,0.01,0.21,0.78,0.99,0,"0.91","0.28","0.67","Not Meeting Target","0.64","Not Meeting Target","0.78","Approaching Target","0.53","Not Meeting Target","0.71","Approaching Target","0.69","Not Meeting Target","Approaching Target","2.15","1.98",2,30,52,"360050048002005",30179,1033,1206,1328,4504
"39","36005004800","","","","THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE",3.21e+11,"08X337",8,40.824884,-73.873517,"1025 MORRISON AVE BRONX, NY 10472","BRONX",10472,"06,07,08","6",8,"No","0.78","N/A",0.09,0.04,0.28,0.68,0.96,0.01,"0.93","0.2","0.97","Exceeding Target","0.97","Exceeding Target","0.86","Exceeding Target","0.96","Exceeding Target","0.8","Meeting Target","0.94","Exceeding Target","Exceeding Target","2.67","2.77",2,30,52,"360050048002005",30179,1033,1206,1328,4504
"40","36005005100","","","","P.S. 018 JOHN PETER ZENGER",3.21e+11,"07X018",7,40.816249,-73.922585,"502 MORRIS AVE BRONX, NY 10451","BRONX",10451,"PK,0K,01,02,03,04,05","PK",5,"No","0.91","22635.63",0.26,0.02,0.29,0.64,0.94,0.03,"0.92","0.29","0.88","Meeting Target","0.9","Meeting Target","0.9","Meeting Target","0.82","Meeting Target","0.83","Meeting Target","0.93","Meeting Target","Meeting Target","2.17","2.39",5,61,58,"360050051003000",19657,1461,1867,1984,5674
"41","36005005100","","","","SUCCESS ACADEMY CHARTER SCHOOL - BRONX 1",3.21e+11,"84X493",7,40.81366,-73.925999,"339 MORRIS AVE-2ND FL BRONX, NY 10451","BRONX",10451,"0K,01,02,03,04,05,06,07,08","0K",8,"No","0.83","25654.97",0.06,0.01,0.56,0.4,0.96,0.01,"0","1","0.97","Exceeding Target","0.92","Meeting Target","0.98","Meeting Target","0.84","Meeting Target","0.93","Exceeding Target","0.97","Exceeding Target","Exceeding Target","3.23","3.97",4,62,68,"360050051002006",19657,1461,1867,1984,5674
"42","36005005100","","","","THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS",3.21e+11,"07X551",7,40.81366,-73.925999,"339 MORRIS AVE BRONX, NY 10451","BRONX",10451,"06,07,08,09,10,11,12,SE","6",12,"No","0.88","N/A",0.14,0.01,0.3,0.67,0.97,0.02,"0.9","0.33","0.8","Approaching Target","0.79","Approaching Target","0.76","Meeting Target","0.72","Approaching Target","0.77","Approaching Target","0.83","Approaching Target","Approaching Target","2.08","2.06",4,62,68,"360050051002006",19657,1461,1867,1984,5674
"43","36005005200","","","","P.S. 152 EVERGREEN",3.21e+11,"08X152",8,40.823978,-73.880504,"1007 EVERGREEN AVE BRONX, NY 10472","BRONX",10472,"PK,0K,01,02,03,04,05,SE","PK",5,"No","0.91","28256.04",0.26,0.01,0.18,0.78,0.96,0.01,"0.91","0.35","0.8","Approaching Target","0.83","Meeting Target","0.89","Meeting Target","0.73","Approaching Target","0.83","Approaching Target","0.85","Approaching Target","Meeting Target","2.19","2.39",3,41,60,"360050052001005",18917,564,676,832,2368
"44","36005005400","","","","P.S. 195",3.21e+11,"12X195",12,40.830906,-73.877497,"1250 WARD AVE BRONX, NY 10472","BRONX",10472,"02,03,04,05","2",5,"No","0.91","27483.68",0.26,0.02,0.16,0.8,0.96,0,"0.92","0.29","0.9","Approaching Target","0.91","Approaching Target","0.89","Approaching Target","0.82","Meeting Target","0.85","Meeting Target","0.92","Meeting Target","Approaching Target","2.07","2.19",2,28,39,"360050054001000",29857,1256,1633,1747,6215
"45","36005005400","","","","P.S. 196",3.21e+11,"12X196",12,40.830906,-73.877497,"1250 WARD AVE BRONX, NY 10472","BRONX",10472,"02,03,04,05","2",5,"No","0.86","27834.71",0.29,0.01,0.18,0.78,0.95,0.01,"0.93","0.27","0.82","N/A","0.74","N/A","0.79","N/A","0.69","N/A","0.76","Not Meeting Target","0.77","Approaching Target","Approaching Target","2.24","2.39",2,28,39,"360050054001000",29857,1256,1633,1747,6215
"46","36005005600","","","","MOTT HALL V",3.21e+11,"12X242",12,40.831694,-73.877464,"1551 E 172ND ST BRONX, NY 10472","BRONX",10472,"06,07,08,SE","6",8,"No","0.8","N/A",0.1,0.04,0.18,0.76,0.94,0.01,"0.94","0.22","0.82","Meeting Target","0.87","Exceeding Target","0.89","Exceeding Target","0.8","Meeting Target","0.74","Approaching Target","0.92","Exceeding Target","Meeting Target","2.36","2.31",2,28,37,"360050056001001",18918,553,705,908,2614
"47","36005006000","","","","EMOLIOR ACADEMY",3.21e+11,"12X383",12,40.839183,-73.88028,"1970 W FARMS RD BRONX, NY 10460","BRONX",10460,"06,07,08","6",8,"No","0.84","N/A",0.21,0.04,0.25,0.64,0.89,0.02,"0.9","0.37","0.76","Not Meeting Target","0.84","Meeting Target","0.82","Approaching Target","0.83","Meeting Target","0.83","Meeting Target","0.92","Meeting Target","Meeting Target","2.22","2.33",2,32,46,"360050060001005",39783,278,300,340,1269
"48","36005006000","","","","P.S. 214",3.21e+11,"12X214",12,40.839183,-73.88028,"1970 W FARMS RD BRONX, NY 10460","BRONX",10460,"PK,0K,01,02,03,04,05,06,07,08","PK",8,"No","0.87","26979.39",0.1,0.02,0.25,0.7,0.95,0.01,"0.91","0.33","0.85","Meeting Target","0.89","Exceeding Target","0.82","Meeting Target","0.86","Meeting Target","0.78","Approaching Target","0.9","Meeting Target","Meeting Target","2.24","2.36",2,32,46,"360050060001005",39783,278,300,340,1269
"49","36005006100","","","","P.S./M.S. 031 THE WILLIAM LLOYD GARRISON",3.21e+11,"07X031",7,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451","BRONX",10451,"PK,0K,01,02,03,04,05,06,07,08","PK",8,"No","0.88","28918.55",0.13,0.02,0.27,0.69,0.96,0.01,"0.9","0.39","0.86","Approaching Target","0.86","Meeting Target","0.85","Approaching Target","0.79","Meeting Target","0.81","Approaching Target","0.89","Meeting Target","Approaching Target","2.09","2.04",4,65,93,"360050061003000",42713,847,388,2175,3878
"50","36005006100","","","","J.H.S. 151 LOU GEHRIG",3.21e+11,"07X151",7,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451","BRONX",10451,"06,07,08","6",8,"No","0.89","N/A",0.34,0.01,0.28,0.69,0.98,0.01,"0.92","0.29","0.88","Meeting Target","0.9","Meeting Target","0.85","Meeting Target","0.78","Approaching Target","0.8","Meeting Target","0.9","Meeting Target","Meeting Target","2.1","1.98",4,65,93,"360050061003000",42713,847,388,2175,3878
