Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
,,,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,3.10E+11,01M332,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08",6,8,No,0.77,N/A,0.15,0.05,0.27,0.63,0.9,0.04,0.92,0.26,0.92,Exceeding Target,0.96,Meeting Target,0.92,Exceeding Target,0.96,Exceeding Target,0.86,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.26,2.2
,,,THE CHILDREN'S WORKSHOP SCHOOL,3.10E+11,01M361,1,40.727726,-73.978382,"610 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,5,No,0.45,62519.57,0.07,0.1,0.1,0.39,0.49,0.38,0.93,0.23,0.97,Meeting Target,0.97,Meeting Target,0.97,Meeting Target,0.96,Exceeding Target,0.93,Exceeding Target,0.94,Meeting Target,Meeting Target,2.89,2.99
,,,NEIGHBORHOOD SCHOOL,3.10E+11,01M363,1,40.724404,-73.98636,"121 E 3RD ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,5,No,0.43,57504.48,0.04,0.05,0.13,0.34,0.47,0.45,0.93,0.23,0.99,Exceeding Target,0.97,Exceeding Target,0.95,Meeting Target,0.96,Exceeding Target,0.95,Exceeding Target,0.99,Exceeding Target,Approaching Target,2.55,2.68
,,,EARTH SCHOOL,3.10E+11,01M364,1,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,5,No,0.45,56787.2,0.06,0.07,0.13,0.35,0.48,0.37,0.94,0.15,0.96,Exceeding Target,0.99,Exceeding Target,0.96,Exceeding Target,0.98,Exceeding Target,0.96,Exceeding Target,0.98,Exceeding Target,Meeting Target,3.1,3.08
,,,SCHOOL FOR GLOBAL LEADERS,3.10E+11,01M378,1,40.720185,-73.985957,"145 STANTON ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08",6,8,No,0.76,N/A,0.08,0.15,0.22,0.58,0.81,0.02,0.92,0.27,0.79,Meeting Target,0.87,Meeting Target,0.82,Meeting Target,0.77,Approaching Target,0.76,Approaching Target,0.88,Meeting Target,Exceeding Target,2.34,2.48
,,,EAST SIDE COMMUNITY SCHOOL,3.10E+11,01M450,1,40.729153,-73.982474,"420 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,"06,07,08,09,10,11,12",6,12,No,0.61,N/A,0.01,0.11,0.21,0.53,0.74,0.12,0.97,0.05,0.92,Exceeding Target,0.95,Exceeding Target,0.92,Exceeding Target,0.96,Exceeding Target,0.88,Exceeding Target,0.95,Exceeding Target,Exceeding Target,2.82,2.9
,,,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",3.10E+11,01M539,1,40.7195,-73.979239,"111 COLUMBIA ST NEW YORK, NY 10002",NEW YORK,10002,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.26,76833.96,0,0.33,0.09,0.11,0.2,0.42,0.97,0.03,0.81,Exceeding Target,0.73,Approaching Target,0.85,Meeting Target,0.55,Not Meeting Target,0.81,Approaching Target,0.74,Not Meeting Target,Exceeding Target,3.83,4.03
,,,TOMPKINS SQUARE MIDDLE SCHOOL,3.10E+11,01M839,1,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,"06,07,08",6,8,No,0.6,N/A,0.03,0.23,0.16,0.37,0.53,0.2,0.96,0.07,0.9,Exceeding Target,0.89,Exceeding Target,0.88,Meeting Target,0.86,Meeting Target,0.83,Meeting Target,0.94,Exceeding Target,Exceeding Target,2.92,3.01
,,,P.S. 001 ALFRED E. SMITH,3.10E+11,02M001,2,40.712561,-73.997474,"8 HENRY ST NEW YORK, NY 10038",NEW YORK,10038,"PK,0K,01,02,03,04,05",PK,5,No,0.77,32817.79,0.25,0.64,0.12,0.22,0.34,0.01,0.95,0.18,0.89,Meeting Target,0.91,Meeting Target,0.95,Meeting Target,0.86,Meeting Target,0.87,Meeting Target,0.94,Exceeding Target,Exceeding Target,2.59,3.14
,,,P.S. 002 MEYER LONDON,3.10E+11,02M002,2,40.712943,-73.991557,"122 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05",PK,5,No,0.86,26114.78,0.36,0.85,0.04,0.09,0.13,0.01,0.98,0.06,0.93,Approaching Target,0.86,Meeting Target,0.94,Meeting Target,0.76,Approaching Target,0.83,Meeting Target,0.89,Meeting Target,Meeting Target,2.75,3.24
,,,P.S. 003 CHARRETTE SCHOOL,3.10E+11,02M003,2,40.732632,-74.005947,"490 HUDSON ST NEW YORK, NY 10014",NEW YORK,10014,"PK,0K,01,02,03,04,05",PK,5,No,0.18,103399.19,0.04,0.07,0.05,0.12,0.18,0.7,0.95,0.13,0.97,Exceeding Target,0.93,Meeting Target,0.97,Meeting Target,0.93,Exceeding Target,0.96,Exceeding Target,0.95,Exceeding Target,Meeting Target,3.09,3.41
,,,P.S. 006 LILLIE D. BLAKE,3.10E+11,02M006,2,40.777703,-73.960428,"45 E 81ST ST NEW YORK, NY 10028",NEW YORK,10028,"0K,01,02,03,04,05",0K,5,No,0.1,144270.13,0.02,0.13,0.02,0.07,0.09,0.75,0.96,0.05,0.87,Meeting Target,0.9,Exceeding Target,0.95,Exceeding Target,0.87,Meeting Target,0.92,Exceeding Target,0.9,Meeting Target,Exceeding Target,3.4,3.71
,,,P.S. 011 WILLIAM T. HARRIS,3.10E+11,02M011,2,40.744549,-74.000737,"320 W 21ST ST NEW YORK, NY 10011",NEW YORK,10011,"PK,0K,01,02,03,04,05",PK,5,No,0.29,98455.77,0.03,0.14,0.07,0.25,0.32,0.49,0.96,0.1,0.93,Exceeding Target,0.93,Exceeding Target,0.98,Exceeding Target,0.91,Exceeding Target,0.93,Exceeding Target,0.95,Exceeding Target,Meeting Target,3.12,3.35
,,,P.S. 033 CHELSEA PREP,3.10E+11,02M033,2,40.748945,-74.000243,"281 9TH AVE NEW YORK, NY 10001",NEW YORK,10001,"PK,0K,01,02,03,04,05",PK,5,No,0.43,88011.14,0.04,0.25,0.12,0.3,0.42,0.26,0.96,0.13,0.97,Exceeding Target,0.9,Exceeding Target,0.94,Exceeding Target,0.82,Meeting Target,0.92,Exceeding Target,0.89,Meeting Target,Meeting Target,3.04,3.4
,,,P.S. 040 AUGUSTUS SAINT-GAUDENS,3.10E+11,02M040,2,40.735118,-73.981697,"319 E 19TH ST NEW YORK, NY 10003",NEW YORK,10003,"PK,0K,01,02,03,04,05",PK,5,No,0.15,102421.46,0.03,0.09,0.03,0.13,0.16,0.64,0.96,0.07,0.97,Exceeding Target,0.94,Exceeding Target,0.99,Exceeding Target,0.91,Exceeding Target,0.96,Exceeding Target,0.96,Exceeding Target,Exceeding Target,3.39,3.65
,,,P.S. 041 GREENWICH VILLAGE,3.10E+11,02M041,2,40.735526,-73.999113,"116 W 11TH ST NEW YORK, NY 10011",NEW YORK,10011,"PK,0K,01,02,03,04,05",PK,5,No,0.07,115909.89,0.02,0.09,0.02,0.1,0.11,0.69,0.97,0.02,0.95,Exceeding Target,0.96,Exceeding Target,0.98,Exceeding Target,0.92,Exceeding Target,0.95,Exceeding Target,0.98,Exceeding Target,Exceeding Target,3.44,3.7
,,,P.S. 042 BENJAMIN ALTMAN,3.10E+11,02M042,2,40.716136,-73.990841,"71 HESTER ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05",PK,5,No,0.79,NA,0.27,0.93,0,0.04,0.04,0.02,0.98,0.02,0.91,Exceeding Target,0.94,Meeting Target,0.96,Exceeding Target,0.89,Exceeding Target,0.85,Meeting Target,0.96,Exceeding Target,Exceeding Target,2.94,3.55
,,,P.S. 051 ELIAS HOWE,3.10E+11,02M051,2,40.761593,-73.99559,"525 W 44TH ST NEW YORK, NY 10036",NEW YORK,10036,"0K,01,02,03,04,05",0K,5,No,0.63,91149.35,0.09,0.24,0.12,0.42,0.55,0.2,0.94,0.15,0.9,Meeting Target,0.95,Exceeding Target,0.97,Exceeding Target,0.91,Exceeding Target,0.89,Meeting Target,0.97,Exceeding Target,Exceeding Target,2.55,2.83
,,,P.S. 059 BEEKMAN HILL INTERNATIONAL,3.10E+11,02M059,2,40.759213,-73.966183,"231-249 E 56TH ST NEW YORK, NY 10019",NEW YORK,10019,"0K,01,02,03,04,05",0K,5,No,0.08,116235.64,0.04,0.15,0.02,0.13,0.15,0.59,0.96,0.06,0.87,Exceeding Target,0.87,Exceeding Target,0.95,Exceeding Target,0.76,Approaching Target,0.94,Exceeding Target,0.89,Meeting Target,Exceeding Target,3.24,3.62
,,,P.S. 77 LOWER LAB SCHOOL,3.10E+11,02M077,2,40.785014,-73.950031,"1700 3RD AVE NEW YORK, NY 10128",NEW YORK,10128,"0K,01,02,03,04,05",0K,5,No,0.07,105947.71,0,0.27,0,0.05,0.06,0.59,0.97,0.01,0.93,Exceeding Target,0.96,Exceeding Target,0.98,Exceeding Target,0.93,Exceeding Target,0.95,Exceeding Target,0.99,Exceeding Target,Exceeding Target,3.73,3.91
,,,P.S. 89,3.10E+11,02M089,2,40.716867,-74.013623,"201 WARREN ST NEW YORK, NY 10282",NEW YORK,10282,"PK,0K,01,02,03,04,05",PK,5,No,0.07,181382.06,0.04,0.16,0.02,0.14,0.16,0.62,0.96,0.06,0.95,Meeting Target,0.94,Meeting Target,0.98,Exceeding Target,0.9,Exceeding Target,0.93,Exceeding Target,0.97,Exceeding Target,Exceeding Target,3.23,3.71
,,,J.H.S. 104 SIMON BARUCH,3.10E+11,02M104,2,40.735735,-73.980611,"330 E 21ST ST NEW YORK, NY 10010",NEW YORK,10010,"06,07,08",6,8,No,0.52,N/A,0.05,0.4,0.08,0.21,0.29,0.28,0.96,0.11,0.87,Meeting Target,0.89,Exceeding Target,0.85,Meeting Target,0.84,Meeting Target,0.7,Approaching Target,0.92,Meeting Target,Exceeding Target,3.05,3.25
,,,P.S. 111 ADOLPH S. OCHS,3.10E+11,02M111,2,40.765834,-73.989602,"440 W 53RD ST NEW YORK, NY 10019",NEW YORK,10019,"PK,0K,01,02,03,04,05",PK,5,No,0.65,70970.41,0.12,0.18,0.16,0.5,0.66,0.13,0.92,0.26,0.89,Approaching Target,0.79,Approaching Target,0.81,Approaching Target,0.74,Approaching Target,0.88,Meeting Target,0.86,Meeting Target,Meeting Target,2.39,2.47
,,,EAST SIDE MIDDLE SCHOOL,3.10E+11,02M114,2,40.780646,-73.947544,"331 E 91ST ST NEW YORK, NY 10028",NEW YORK,10028,"06,07,08",6,8,No,0.1,N/A,0,0.15,0.03,0.09,0.12,0.66,0.98,0.02,0.92,Exceeding Target,0.96,Exceeding Target,0.92,Exceeding Target,0.94,Exceeding Target,0.82,Meeting Target,0.96,Exceeding Target,Exceeding Target,3.66,3.94
,,,P.S. 116 MARY LINDLEY MURRAY,3.10E+11,02M116,2,40.744425,-73.977634,"210 E 33RD ST NEW YORK, NY 10016",NEW YORK,10016,"0K,01,02,03,04,05",0K,5,No,0.31,96174.16,0.11,0.2,0.09,0.22,0.3,0.44,0.95,0.14,0.92,Exceeding Target,0.92,Exceeding Target,0.95,Meeting Target,0.83,Meeting Target,0.9,Exceeding Target,0.92,Meeting Target,Meeting Target,3.07,3.17
,,,P.S. 124 YUNG WING,3.10E+11,02M124,2,40.714426,-73.995526,"40 DIVISION ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05",PK,5,No,0.58,42493.71,0.29,0.95,0,0.03,0.03,0.01,0.98,0.02,0.83,Approaching Target,0.77,Approaching Target,0.94,Exceeding Target,0.65,Approaching Target,0.8,Approaching Target,0.85,Meeting Target,Exceeding Target,3.1,3.55
,,,P.S. 126 JACOB AUGUST RIIS,3.10E+11,02M126,2,40.710448,-73.997001,"80 CATHERINE ST NEW YORK, NY 10038",NEW YORK,10038,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.73,38919.61,0.17,0.59,0.11,0.21,0.32,0.08,0.96,0.1,0.91,Exceeding Target,0.93,Exceeding Target,0.91,Exceeding Target,0.89,Exceeding Target,0.82,Approaching Target,0.95,Exceeding Target,Exceeding Target,2.93,3.29
,,,P.S. 130 HERNANDO DE SOTO,3.10E+11,02M130,2,40.718819,-73.998263,"143 BAXTER ST NEW YORK, NY 10013",NEW YORK,10013,"PK,0K,01,02,03,04,05",PK,5,No,0.62,59851.21,0.13,0.88,0.01,0.05,0.06,0.03,0.99,0.02,0.98,Meeting Target,0.97,Exceeding Target,0.97,Exceeding Target,0.96,Exceeding Target,0.9,Exceeding Target,0.99,Exceeding Target,Exceeding Target,3.09,3.61
,,,M.S. 131,3.10E+11,02M131,2,40.716213,-73.993555,"100 HESTER ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08",6,8,No,0.84,N/A,0.35,0.77,0.08,0.14,0.22,0,0.97,0.09,0.86,Meeting Target,0.92,Meeting Target,0.91,Meeting Target,0.86,Meeting Target,0.78,Meeting Target,0.95,Exceeding Target,Exceeding Target,2.49,3.02
,,,P.S. 150,3.10E+11,02M150,2,40.718083,-74.010942,"334 GREENWICH ST NEW YORK, NY 10013",NEW YORK,10013,"PK,0K,01,02,03,04,05",PK,5,No,0.2,132795.44,0.02,0.16,0.05,0.14,0.19,0.55,0.95,0.05,0.95,Meeting Target,0.9,Meeting Target,0.96,Exceeding Target,0.9,Exceeding Target,0.95,Exceeding Target,0.97,Exceeding Target,Exceeding Target,3.37,3.43
,,,YORKVILLE COMMUNITY SCHOOL,3.10E+11,02M151,2,40.777924,-73.947316,"421 E 88TH ST NEW YORK, NY 10128",NEW YORK,10128,"0K,01,02,03,04,05",0K,5,No,0.37,81690.71,0.07,0.07,0.14,0.27,0.41,0.47,0.94,0.16,0.96,Exceeding Target,0.96,Meeting Target,0.93,Meeting Target,0.9,Exceeding Target,0.92,Exceeding Target,0.95,Exceeding Target,Meeting Target,2.83,3.2
,,,P.S. 158 BAYARD TAYLOR,3.10E+11,02M158,2,40.770203,-73.95073,"1458 YORK AVE NEW YORK, NY 10021",NEW YORK,10021,"PK,0K,01,02,03,04,05",PK,5,No,0.11,94194.68,0.05,0.11,0.04,0.1,0.14,0.71,0.96,0.08,0.96,Exceeding Target,0.87,Exceeding Target,0.96,Exceeding Target,0.8,Meeting Target,0.89,Meeting Target,0.89,Meeting Target,Exceeding Target,3.49,3.74
,,,J.H.S. 167 ROBERT F. WAGNER,3.10E+11,02M167,2,40.771827,-73.95794,"220 E 76TH ST NEW YORK, NY 10021",NEW YORK,10021,"06,07,08",6,8,No,0.36,N/A,0.04,0.28,0.08,0.19,0.27,0.42,0.96,0.09,0.85,Exceeding Target,0.89,Meeting Target,0.87,Meeting Target,0.84,Meeting Target,0.76,Approaching Target,0.92,Meeting Target,Exceeding Target,3.08,3.34
,,,YORKVILLE EAST MIDDLE SCHOOL,3.10E+11,02M177,2,40.770203,-73.95073,"1458 YORK AVE NEW YORK, NY 10075",NEW YORK,10075,"06,07,08",6,8,No,0.27,N/A,0.01,0.11,0.11,0.3,0.4,0.42,0.96,0.09,0.99,N/A,0.99,N/A,0.88,N/A,0.99,N/A,0.92,N/A,0.98,N/A,N/A,3.13,3.59
,,,P.S. 183 ROBERT L. STEVENSON,3.10E+11,02M183,2,40.763762,-73.957759,"419 E 66TH ST NEW YORK, NY 10021",NEW YORK,10021,"0K,01,02,03,04,05",0K,5,No,0.07,104700.89,0.06,0.17,0.04,0.1,0.14,0.66,0.96,0.07,0.85,Meeting Target,0.94,Exceeding Target,0.94,Exceeding Target,0.88,Exceeding Target,0.93,Exceeding Target,0.95,Exceeding Target,Exceeding Target,3.26,3.39
,,,P.S. 198 ISADOR E. IDA STRAUS,3.10E+11,02M198,2,40.785014,-73.950031,"1700 3RD AVE NEW YORK, NY 10128",NEW YORK,10128,"PK,0K,01,02,03,04,05",PK,5,No,0.37,81932.76,0.07,0.16,0.1,0.27,0.37,0.45,0.94,0.19,0.89,Approaching Target,0.9,Approaching Target,0.86,Meeting Target,0.78,Meeting Target,0.95,Exceeding Target,0.93,Meeting Target,Meeting Target,2.73,2.97
,,,P.S. 212 MIDTOWN WEST,3.10E+11,02M212,2,40.761329,-73.988669,"328 W 48TH ST NEW YORK, NY 10036",NEW YORK,10036,"0K,01,02,03,04,05",0K,5,No,0.2,85295.72,0.02,0.1,0.06,0.23,0.29,0.48,0.96,0.05,0.93,Exceeding Target,0.98,Exceeding Target,0.97,Exceeding Target,0.97,Exceeding Target,0.97,Exceeding Target,0.99,Exceeding Target,Meeting Target,3.14,3.45
,,,P.S./I.S. 217 ROOSEVELT ISLAND,3.10E+11,02M217,2,40.763969,-73.948468,"645 MAIN ST ROOSEVELT ISLAND, NY 10044",ROOSEVELT ISLAND,10044,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.29,93388.06,0.07,0.29,0.16,0.14,0.3,0.36,0.95,0.1,0.93,Exceeding Target,0.95,Exceeding Target,0.89,Meeting Target,0.88,Meeting Target,0.89,Exceeding Target,0.92,Meeting Target,Meeting Target,2.9,3.01
,,,ELLA BAKER SCHOOL,3.10E+11,02M225,2,40.765368,-73.959696,"317 E 67TH ST NEW YORK, NY 10021",NEW YORK,10021,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.43,58096.58,0.03,0.04,0.19,0.37,0.56,0.35,0.92,0.26,0.91,Exceeding Target,0.91,Exceeding Target,0.93,Meeting Target,0.82,Meeting Target,0.95,Exceeding Target,0.9,Meeting Target,Meeting Target,2.71,2.75
,,,P.S. 234 INDEPENDENCE SCHOOL,3.10E+11,02M234,2,40.716096,-74.011765,"292 GREENWICH ST NEW YORK, NY 10007",NEW YORK,10007,"0K,01,02,03,04,05",0K,5,No,0.07,176793.4,0.01,0.11,0.01,0.08,0.1,0.7,0.96,0.06,0.92,Exceeding Target,0.9,Exceeding Target,0.97,Exceeding Target,0.76,Approaching Target,0.94,Exceeding Target,0.87,Meeting Target,Exceeding Target,3.25,3.55
,,,M.S. 255 SALK SCHOOL OF SCIENCE,3.10E+11,02M255,2,40.735118,-73.981697,"319 E 19TH ST NEW YORK, NY 10003",NEW YORK,10003,"06,07,08",6,8,No,0.13,N/A,0,0.19,0.03,0.09,0.13,0.63,0.97,0.05,0.93,Meeting Target,0.97,Exceeding Target,0.95,Exceeding Target,0.96,Exceeding Target,0.88,Exceeding Target,0.98,Exceeding Target,Exceeding Target,3.75,3.63
,,,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,3.10E+11,02M260,2,40.736114,-73.992352,"10 E 15TH ST NEW YORK, NY 10003",NEW YORK,10003,"06,07,08",6,8,No,0.24,N/A,0.01,0.14,0.06,0.1,0.16,0.65,0.97,0.02,0.91,Exceeding Target,0.9,Meeting Target,0.9,Exceeding Target,0.87,Meeting Target,0.87,Exceeding Target,0.95,Exceeding Target,Exceeding Target,3.37,3.36
,,,"EAST SIDE ELEMENTARY SCHOOL, PS 267",3.10E+11,02M267,2,40.763854,-73.963813,"213 E 63RD ST NEW YORK, NY 10065",NEW YORK,10065,"0K,01,02,03,04,05",0K,5,No,0.05,115262.92,0.04,0.11,0.02,0.07,0.09,0.78,0.96,0.07,0.94,Exceeding Target,0.96,Exceeding Target,0.95,Exceeding Target,0.9,Meeting Target,0.91,Meeting Target,0.91,Meeting Target,N/A,3.13,3.32
